COD_MOD,COD_MOD_DESTINO,WEIGHT
0526707,0415984,1
0469411,0415984,1
1500313,0412676,1
1469576,0906412,1
1038736,0906412,1
1354380,0764555,2
1099175,0764555,1
1083500,0764555,1
0728261,0764555,1
0825752,0764555,2
1663673,0764555,1
0325787,0764555,1
1070275,0764555,1
0339150,0764555,1
0665174,0764555,1
1667765,0764555,1
1261742,0764555,1
0325803,0764555,1
1235787,0764555,1
1489749,0764555,1
0331140,0764555,1
1198969,0764555,1
0331991,0764555,1
1198845,0764555,1
1758283,0764555,2
0833186,0764555,2
0433722,0764555,1
1009935,0764555,1
0833459,0764555,1
1739390,0833699,1
0338707,0833699,1
0318683,1020718,1
1489020,1020718,1
1490820,0331108,1
0332346,0331108,1
0331744,0334821,1
0338301,0334821,1
0762716,0334821,1
0331611,0334821,5
0528380,0334821,1
0331736,0334821,2
1502160,0334821,1
0320515,0334821,1
1073618,0334821,1
1066083,0334821,1
0336370,0334821,1
0318436,0334821,1
0689661,0334821,2
0628966,0334821,1
0779561,0334821,1
0331223,0334821,1
1066240,0334821,1
1495423,0334821,1
1050087,0334821,1
1306836,0334821,1
0339507,0334821,1
1463777,0336982,1
0337030,0336982,1
0337311,0336982,1
1723378,0336982,1
0578468,0336982,2
0331702,0824904,1
1358415,0824904,1
0338012,0824904,1
0325845,0824904,1
1509751,0828046,1
0337030,0828046,1
1355478,0828046,1
0825950,0828046,1
1048990,0828046,1
0437426,0828046,1
0336370,1053909,1
0331504,1053909,1
0325803,1053909,1
0336438,1053909,2
1700996,1053909,2
1490879,1053909,1
1169002,1053909,1
1492131,1053909,1
0739318,1053909,1
0325787,1053909,1
1499714,1053909,1
0343616,0310490,1
0883561,0322198,1
1194885,1188754,1
1033976,0320903,1
0777177,0320903,2
1525013,0320903,1
0501700,1539782,1
0583476,1539931,1
1659754,1539931,1
1242353,1539931,1
1636539,0340612,2
1412691,0340612,2
1098532,0340612,4
0329532,0340612,1
0337030,0340612,1
0337279,0340612,1
0449520,0340612,1
1492149,0340612,1
0329565,0340612,1
1168848,0340612,2
0316554,0340612,1
1322585,0340612,1
0329383,0340612,1
0901413,0340612,1
0245662,0340612,1
1662204,0340612,3
1067834,0340612,1
1169168,0340612,1
1539717,0340612,3
0690131,0340612,1
1483395,0340612,1
1671510,0340612,1
0314468,0340612,2
0337287,0340612,3
1778786,0340612,1
0598649,0340612,1
1577428,0340612,1
1782895,0340612,1
1785831,0340612,1
1762723,0340612,2
0449496,0340612,1
1662030,0340612,1
0581728,1730282,1
0285817,1730340,1
0323345,1730340,1
1168848,1730340,1
0778316,1730456,1
1510544,1730456,1
0324525,1730456,1
1572924,1730456,1
1790385,1730456,1
1081660,1730456,1
0324483,1730456,1
1308725,1730456,4
1489319,1730456,1
0323444,1730456,1
0494633,1730456,1
1541903,1730456,3
0323956,1730456,1
1086354,1730456,1
1463793,1730456,6
0503052,1730456,2
1510627,1730456,1
0247965,1730456,1
1509793,1730456,1
1558741,1730456,1
0646612,1730456,2
1495423,1730456,3
0870444,1730456,1
0318782,1730456,1
0820753,1730456,2
1756162,1730456,1
0328294,1730456,1
1753524,1730456,1
1534791,1730456,2
0328260,1730456,1
1574433,1730456,1
0324434,1730456,1
1512615,1730456,4
1434588,1730456,3
1513910,1730456,1
0323725,1730456,1
0728485,1730456,1
0305789,1730456,1
0586495,1730456,1
0503615,1730456,1
1385244,1730456,1
1485945,1730456,1
1723634,1730456,1
0323865,1730456,1
1758267,1730456,2
1087113,1730456,2
1056373,1730456,2
1086990,1730456,1
0640169,1730456,1
1755115,1730456,1
0503896,1730456,1
0646646,1730456,1
0329128,1730456,1
1083229,1730456,3
1512250,1730456,3
1081462,1730456,3
0834572,1730456,2
1669670,1730456,4
1424357,1730662,3
1497098,1730662,1
0495473,1730662,1
1037514,1730662,1
1695824,1730662,1
1244680,1730662,1
1669985,1730662,1
1610484,1730803,1
1056944,1730803,1
1535392,1730803,1
0325472,1730803,1
0329342,1730803,1
0870980,1730803,1
0647057,1730803,1
0493239,1730803,1
1034487,1730803,1
1313832,1730803,1
1057942,1730803,2
0820167,0415968,1
0915199,0415968,1
0823492,0415968,1
0434076,0416149,2
0253989,0416149,1
0763177,0416156,1
0842732,0492496,1
1406610,0492496,2
0249961,0492496,1
1257773,0492504,1
1487990,0492504,1
0582122,0492504,1
0286252,0492504,1
0632471,0577387,1
0884569,0577387,1
1309392,0577387,1
1775642,0577387,1
0761668,0577387,1
0525055,0413427,1
1045111,0413500,1
0323733,0413443,1
0772970,0819102,1
1070275,0819102,1
0583872,0906313,1
1486943,0665182,1
0318063,0665182,1
0338822,0665182,1
1762723,0337220,1
0449819,0590315,1
1723378,0590315,1
0764134,0590315,1
1723873,0590315,1
0833905,0590315,3
1307586,0590315,1
1068238,0590315,1
1168848,0665190,1
1235068,0665190,1
1519222,0774455,1
0725739,0774455,2
1378595,0774455,1
0535625,0774455,1
0337717,0774455,1
1098987,0774455,1
0336636,0774455,1
1248558,0774455,1
1049097,0774455,1
1424423,0774455,1
1758796,0774455,1
1351428,0774455,1
1496363,0774455,1
1322932,0774455,1
1098292,0774455,1
1483395,0774455,2
1494640,0774455,1
1492412,0774455,1
1040393,0774455,1
1234749,0903617,1
0885244,0903617,1
1640168,0903617,1
1639921,0903617,2
1483395,1020726,1
1762533,1020726,1
1199009,1020726,1
1487040,1020726,1
1010214,1020726,1
1758283,0833186,1
1315894,0833186,1
0833392,0833186,1
0318048,0833186,3
1536523,0833186,2
1523505,0833186,1
1491232,0833186,1
0318287,0833186,1
0764555,0833186,1
0319772,0833186,1
0332007,0833186,1
1483320,0833186,1
1502087,0833186,19
1401843,0833186,1
1568070,0833186,1
1490713,0833186,1
0332072,0833186,1
1574433,0833186,2
1198969,0833186,1
0331488,1020643,1
0665174,1020643,1
0339051,1054501,1
0665125,1054501,1
0339317,1054501,1
1088400,1054501,1
1050566,1054501,1
0828137,0325787,1
0331199,0325787,1
0323394,0325787,1
0763276,0325787,1
1739390,0325787,1
0599688,0325787,1
1053909,0325787,1
1045772,0325787,1
0825752,0325787,1
0825695,0325787,2
0605592,0325787,1
1482926,0325787,1
0331504,0325787,2
0318683,0325787,1
0331819,0325787,1
1664937,0325787,1
0903583,0325787,1
0825695,0331637,1
0824870,0331637,1
0338889,0331637,1
0331488,0331637,2
0336438,0331637,1
0434159,0331637,1
0332189,0331819,1
1489194,0331819,1
0432724,0331819,1
0320200,0331819,1
1098227,0331819,1
1486703,0331819,1
1169481,0336438,1
0217554,0336438,1
1009596,0336438,1
1426048,0336438,1
1050566,0336438,1
1699396,0336438,2
1242387,0336438,2
1009752,0336438,1
1053909,0336438,1
1020403,0336438,1
1049725,0336438,1
1510544,0337980,1
0496844,0337980,1
0830539,0337980,1
0334862,0337980,1
0336370,0337980,1
0825695,0337980,2
0639377,0337980,1
0647792,0337980,1
0339374,0337980,1
0828137,0337980,4
0334920,0337980,1
1490713,0337980,1
